slot,cik,company_name,ticker,industry,form_type,filing_date,accession_number,edgar_url,fiscal_year,source_url,raw_html_path
88,915912,AvalonBay Communities,AVB,"Arlington, Virginia",DEF 14A,2024-03-28,0001308179-24-000352,https://www.sec.gov/Archives/edgar/data/915912/000130817924000352/lavb2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/915912/000130817924000352/lavb2024_def14a.htm,
89,915912,AvalonBay Communities,AVB,"Arlington, Virginia",DEF 14A,2025-04-02,0001558370-25-004321,https://www.sec.gov/Archives/edgar/data/915912/000155837025004321/avb-20250521xdef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/915912/000155837025004321/avb-20250521xdef14a.htm,
90,1730168,Broadcom,AVGO,"Palo Alto, California",DEF 14A,2024-02-26,0001140361-24-009541,https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm,
91,1730168,Broadcom,AVGO,"Palo Alto, California",DEF 14A,2025-03-03,0001193125-25-044112,https://www.sec.gov/Archives/edgar/data/1730168/000119312525044112/d861439ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1730168/000119312525044112/d861439ddef14a.htm,
92,8818,Avery Dennison,AVY,"Mentor, Ohio",DEF 14A,2024-03-11,0001193125-24-064252,https://www.sec.gov/Archives/edgar/data/8818/000119312524064252/d568119ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/8818/000119312524064252/d568119ddef14a.htm,
93,8818,Avery Dennison,AVY,"Mentor, Ohio",DEF 14A,2025-03-07,0001193125-25-048919,https://www.sec.gov/Archives/edgar/data/8818/000119312525048919/d897467ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/8818/000119312525048919/d897467ddef14a.htm,
94,1410636,American Water Works,AWK,"Camden, New Jersey",DEF 14A,2024-03-26,0001193125-24-077207,https://www.sec.gov/Archives/edgar/data/1410636/000119312524077207/d465803ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1410636/000119312524077207/d465803ddef14a.htm,
95,1410636,American Water Works,AWK,"Camden, New Jersey",DEF 14A,2025-03-27,0001193125-25-064607,https://www.sec.gov/Archives/edgar/data/1410636/000119312525064607/d914504ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1410636/000119312525064607/d914504ddef14a.htm,
96,1069183,Axon Enterprise,AXON,"Scottsdale, Arizona",DEF 14A,2024-03-29,0001558370-24-004374,https://www.sec.gov/Archives/edgar/data/1069183/000155837024004374/axon-20240510xdef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1069183/000155837024004374/axon-20240510xdef14a.htm,
97,1069183,Axon Enterprise,AXON,"Scottsdale, Arizona",DEF 14A,2025-04-16,0001069183-25-000055,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000055/axon-20250416.htm,2024,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000055/axon-20250416.htm,
98,4962,American Express,AXP,"New York City, New York",DEF 14A,2024-03-15,0001193125-24-068837,https://www.sec.gov/Archives/edgar/data/4962/000119312524068837/d558747ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/4962/000119312524068837/d558747ddef14a.htm,
